client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
93f323d60aee39cfcab0edb31ff1367bad327b60cab1d60b196ca54a485830eaa88e6194ce5d72aefaa18e52cf27ac03bb675d7237b1786b7e9e97aefad24e5a	common_voice_ur_42810146.mp3	1abca81baa01938b9bc20c7acdab0c0441b7ad2e131347a62a3fc274649f3220	کوئی پارٹی نہیں چھوڑی، ہر گھاٹ کا پانی پیا۔		0	0					ur	
93f323d60aee39cfcab0edb31ff1367bad327b60cab1d60b196ca54a485830eaa88e6194ce5d72aefaa18e52cf27ac03bb675d7237b1786b7e9e97aefad24e5a	common_voice_ur_42810147.mp3	1929c09470b5532b0cb037a587bc8ac47d4679d1d66161bb729fec2dac340c8e	علامہ کو سمجھ نہ آئی کہ دھرنا کب ختم کرنا چاہیے۔		0	0					ur	
93f323d60aee39cfcab0edb31ff1367bad327b60cab1d60b196ca54a485830eaa88e6194ce5d72aefaa18e52cf27ac03bb675d7237b1786b7e9e97aefad24e5a	common_voice_ur_42810148.mp3	19da5f53b2642f9a4d49c5fc790362584e21dc048471541d4dc7d72016cf24fa	مریکہ اور یورپ میں مزدوروں نے		0	0					ur	
93f323d60aee39cfcab0edb31ff1367bad327b60cab1d60b196ca54a485830eaa88e6194ce5d72aefaa18e52cf27ac03bb675d7237b1786b7e9e97aefad24e5a	common_voice_ur_42810149.mp3	170d75550f38053e691bf52d029379b200114a7a3340b3bd3d8a42a27d83c060	لیکن اندر جو چیز ڈالی جاتی ہے۔		0	0					ur	
93f323d60aee39cfcab0edb31ff1367bad327b60cab1d60b196ca54a485830eaa88e6194ce5d72aefaa18e52cf27ac03bb675d7237b1786b7e9e97aefad24e5a	common_voice_ur_42810150.mp3	1ac20c5614c91333b093e9d60d8f2493bfe9c706dc018943a478bd8158a65194	وہ پنجاب کے وزیر قانون راجہ بشارت ہیں۔		0	0					ur	
325a1fcc31d879a6bdbd640ea40fd39ab479c23852bfe109702cc274e086f8ccc8f90013ab579fdb8f4def449af2cadc80f65c502b25d147210533f4c9f04be7	common_voice_ur_42810151.mp3	18c94e0d931e31d7f15d9b79d9c128029c006e7b58acb347aed435ee6f4cc3ba	لیکن ہمارے ہاں جن کا دیہات سے براہ راست تعلق ہے۔		0	0					ur	
325a1fcc31d879a6bdbd640ea40fd39ab479c23852bfe109702cc274e086f8ccc8f90013ab579fdb8f4def449af2cadc80f65c502b25d147210533f4c9f04be7	common_voice_ur_42810152.mp3	19e6716ce11ee76e51fc05e8f4304d700b699d4cafc95d83260577792584165d	برسات کے موسم میں بوندوں کا افسوس کرنا خوبصورتی ہوتا ہے۔		0	0					ur	
325a1fcc31d879a6bdbd640ea40fd39ab479c23852bfe109702cc274e086f8ccc8f90013ab579fdb8f4def449af2cadc80f65c502b25d147210533f4c9f04be7	common_voice_ur_42810153.mp3	1999c0ed3ace99dd4bea924b6989166c72400783a21d599c1446f5dbec836edf	عمران خان کا ماضی کیا ہے؟		0	0					ur	
325a1fcc31d879a6bdbd640ea40fd39ab479c23852bfe109702cc274e086f8ccc8f90013ab579fdb8f4def449af2cadc80f65c502b25d147210533f4c9f04be7	common_voice_ur_42810154.mp3	1946b5c26e681fdf080febdf68205182e5656c2359c4aaa610886d26e79067d0	انڈیا کے لوگوں کے مقابلے میں پاکستانی زیادہ خوش کیوں		0	0					ur	
325a1fcc31d879a6bdbd640ea40fd39ab479c23852bfe109702cc274e086f8ccc8f90013ab579fdb8f4def449af2cadc80f65c502b25d147210533f4c9f04be7	common_voice_ur_42810155.mp3	1a8beee9b322f632593daad7e68a1184ab20e607d41bd46a87dc98642dcdd90f	پرواز میں ایندھن بھرنے سے فالکن کی رینج بڑھ جاتی ہے۔		0	0					ur	
278fcefb1db4804fc268e4f7e6b2891727f04a14baddd5c97de48d772a855ba4be94e5a1312a39700fde147e891645b9829b1b07af747ade162b66a4aa8fe5c6	common_voice_ur_43200741.mp3	19511896b919c0c7683080a834aa74b6dde6ff168e42f76c0eefa4b4fa58d899	خون سے بننے		0	0					ur	
278fcefb1db4804fc268e4f7e6b2891727f04a14baddd5c97de48d772a855ba4be94e5a1312a39700fde147e891645b9829b1b07af747ade162b66a4aa8fe5c6	common_voice_ur_43200742.mp3	1948235ba25ff6a9c5c459359237c00cba96a1d9b4abfbe1859dfcbec28d3a27	دیا جائے تو پتا نہیں وہ کیا گل کھلائیں۔		0	0					ur	
278fcefb1db4804fc268e4f7e6b2891727f04a14baddd5c97de48d772a855ba4be94e5a1312a39700fde147e891645b9829b1b07af747ade162b66a4aa8fe5c6	common_voice_ur_43200743.mp3	1894d8e4ea4dbac6b0a25c4143f5759aeca0586e542deb10efcc29659feec3a4	کوہلی پر اسٹریلین افیشل کو بوتل مارنے کا الزام		0	0					ur	
278fcefb1db4804fc268e4f7e6b2891727f04a14baddd5c97de48d772a855ba4be94e5a1312a39700fde147e891645b9829b1b07af747ade162b66a4aa8fe5c6	common_voice_ur_43200744.mp3	1939602f219eeccb49e2c152c7f6e7f302503e4bf440a8f8741973f9a0e85bba	تو یہ قبضہ ہمیشہ کیلئے برقرار رہے گا؟		0	0					ur	
278fcefb1db4804fc268e4f7e6b2891727f04a14baddd5c97de48d772a855ba4be94e5a1312a39700fde147e891645b9829b1b07af747ade162b66a4aa8fe5c6	common_voice_ur_43200745.mp3	18ca4a919356a75a49473cd4bc4d75ebbe7c3a7ed88809966b232d602160d352	علی نور جگر کی سنگین بیماری میں مبتلا ہسپتال میں زیر علاج		0	0					ur	
